content,keyboard_content,message_index,variant,bot_id,next_message_index,next_bot_id,next_content_type,next_content_variant
"Hi {name} I'm {bot_name}.\nGive me more details about {problem}.",,1,1,2,2,2,text,
"Hey {name} I'm {bot_name}. 👋\nTell me more about {problem}.",,1,51,2,2,2,text,
"Hmm let's think about this together\nDo you feel this problem is significantly affecting your life?",,2,1,2,3,2,text,
"Alright let's think about this together 🤔\nDo you feel this is has affected your life?",,2,51,2,3,2,text,
"Have you ever dealt with this problem or something similar before?",,3,1,2,4,2,text,yes_no_dont_know
"Have you've dealt with something like this before?",,3,51,2,4,2,text,yes_no_dont_know
"Perhaps breaking down the problem would be helpful\nTry to describe for me a piece of the problem and a simple solution for it?",,4,1,2,5,2,text,	
"Maybe breaking it down would be helpful 🤷\nWhat's a small part of the problem and a simple solution?",,4,51,2,5,2,text,
